Id,SalePrice
1461,118832.01119439978
1462,168305.74445051773
1463,189335.65743115955
1464,201027.98696704727
1465,196636.08048307223
1466,171394.61990571427
1467,173393.7953363256
1468,159747.29264443213
1469,198681.5576838944
1470,119278.96357263894
1471,170207.32865399352
1472,96615.93302272905
1473,95161.58860229737
1474,146073.82676003381
1475,107692.08999962243
1476,364673.78337354923
1477,252067.24356822053
1478,305148.0899078946
1479,298513.3180338363
1480,518796.1396500312
1481,334316.8284934693
1482,206669.29128631987
1483,183431.93331321614
1484,158584.74034353456
1485,189526.40748990988
1486,189909.19086374936
1487,337070.8277149784
1488,208320.50179044824
1489,193045.07883394745
1490,252672.2783135615
1491,195116.12024173216
1492,95312.6363947985
1493,175418.16749634067
1494,298976.7947157559
1495,290827.7615304363
1496,231139.37029090998
1497,184084.97942110515
1498,190845.33356030905
1499,170562.8388258164
1500,160633.05835641373
1501,181940.98536137133
1502,142543.70931721706
1503,370372.53045361553
1504,239367.38181591197
1505,229289.99286673884
1506,196005.5205246547
1507,248829.48823425104
1508,200482.9750781038
1509,156336.15327030787
1510,145963.52553092455
1511,169581.44036660026
1512,175359.7429811996
1513,145040.66594872705
1514,166365.5272018845
1515,190711.642052991
1516,154949.88612994194
1517,177855.15270174426
1518,131564.188689842
1519,209420.8820347231
1520,125567.95447726094
1521,134379.9351503487
1522,177143.11305709413
1523,117360.32557421506
1524,126581.05715522027
1525,118187.4238990138
1526,112137.2760389766
1527,108777.49483250869
1528,131612.97168705775
1529,160054.51433865083
1530,193102.7337632186
1531,106541.78355080707
1532,90138.57392504648
1533,155208.80404869406
1534,124181.40958259694
1535,149430.26733771135
1536,104989.48453101573
1537,55292.14860567432
1538,147660.7550324295
1539,190420.35125624327
1540,80501.94442170905
1541,141167.61918208402
1542,157666.84838331526
1543,181080.85912910837
1544,82916.96961004566
1545,116392.83630010014
1546,133905.04689989347
1547,133465.16416809993
1548,137947.16638669712
1549,118667.24614189607
1550,133100.59249299747
1551,102131.75342234292
1552,136838.52491685862
1553,143563.6346596654
1554,115673.43574806696
1555,165045.37077348653
1556,79099.05876027593
1557,124114.75317892553
1558,106913.7614104347
1559,53800.64407369079
1560,126420.59655727139
1561,131267.00820551766
1562,128762.76862452127
1563,121841.55848355654
1564,157420.19487664383
1565,158116.744777687
1566,233268.69472430003
1567,78739.10424969946
1568,235985.36163172507
1569,137527.925432688
1570,129402.05884887197
1571,113379.20466269497
1572,142059.24594509933
1573,240537.5682123658
1574,118565.75163393715
1575,234712.23442427188
1576,233235.68185491825
1577,174687.01756024975
1578,144556.0945296803
1579,151805.2231936839
1580,194461.0189781792
1581,156140.36355766753
1582,124228.14147359264
1583,293718.2350599644
1584,212250.7873024736
1585,133098.40027925823
1586,80526.60291024373
1587,111580.74104500854
1588,146574.04109508934
1589,100001.84432888457
1590,127261.09350421515
1591,92734.89243354413
1592,122690.29620894225
1593,128309.68981059728
1594,125594.40827646505
1595,107714.5809837832
1596,221232.709463173
1597,207454.47014456836
1598,240068.78047302444
1599,166768.33646165355
1600,156946.73038306425
1601,67708.64654120227
1602,117293.35976199208
1603,61532.228407795665
1604,266023.644765654
1605,230020.32640948377
1606,161000.1692670531
1607,180210.34470634177
1608,216498.9971494779
1609,179423.1727296972
1610,157133.4863985446
1611,136003.01440336576
1612,172138.31338272325
1613,164225.7884180952
1614,122909.706243133
1615,91805.78019058677
1616,78907.8843995638
1617,92623.7478712898
1618,137249.3922815692
1619,138368.061158161
1620,152013.7989611845
1621,134259.5324668741
1622,143468.5018467155
1623,250273.99126845697
1624,203480.03173837194
1625,114105.19453164263
1626,168442.55495600138
1627,196127.06064211574
1628,276686.36935427063
1629,180938.8805207281
1630,371318.3961415775
1631,241237.19770431143
1632,260702.80720646595
1633,170151.4796593115
1634,184815.7864433169
1635,173290.57374690744
1636,148725.41451487123
1637,208882.3003109554
1638,181496.44605664752
1639,187539.6310469844
1640,244269.16470111054
1641,182108.54052791162
1642,249259.52733431794
1643,221267.49765484413
1644,248623.58819388936
1645,204502.980212343
1646,152777.5516791289
1647,157667.74934863948
1648,129479.28909065806
1649,138003.85393930777
1650,112708.54897524351
1651,117385.13513003089
1652,98212.75621011824
1653,99236.19949023979
1654,147403.43716882393
1655,129035.3523218369
1656,142930.92872206008
1657,153738.55284527576
1658,147243.34135955767
1659,119128.26298574638
1660,152991.09064432845
1661,465683.3622717843
1662,401644.318127823
1663,385237.4093956941
1664,653728.1395006262
1665,310328.0981075448
1666,307378.20707944763
1667,402549.2878863492
1668,334644.9548394327
1669,307685.39451618626
1670,352088.72056888114
1671,268233.040898731
